f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
1,0,3,1,5,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,77,0.3766233766233766,1,1,1,6,0,8,1,0.1111111111111111,1
22,0,7,1,39,13,0,0,1,0,1,2,0,0,3,0,0,0,0,2,2,0,0,1,0,1,0,0,4,0,10,8,34,214,0.2429906542056074,0,18,19,3,0,0,22,1.0,1
1,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0.5625,0,1,0,0,0,6,1,0.1428571428571428,0
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,104,0.6442307692307693,1,3,0,0,0,7,1,0.125,1
13,0,3,0,10,3,0,2,1,0,2,126,0,0,1,5,0,0,0,5,5,1,0,0,0,0,0,0,0,1,0,0,17,1091,0.076993583868011,1,37,5,5,0,1,13,0.9285714285714286,0
0,0,0,0,1,11,1,0,1,0,4,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,10,0,12,63,0.4285714285714285,1,4,0,0,0,18,0,0.0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0.0,1
16,0,3,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,7,63,0.492063492063492,1,10,1,8,0,0,16,1.0,0
1,0,3,1,5,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,77,0.3766233766233766,1,1,1,6,0,8,1,0.1111111111111111,1
118,1,15,13,17,46,0,0,0,1,101,100,0,0,0,8,0,0,0,0,0,0,0,14,1,1,0,3,2,0,0,27,28,1168,0.247431506849315,21,172,13,0,0,32,119,0.7880794701986755,0
17,0,6,0,2,10,0,0,1,1,2,51,0,0,12,10,0,0,0,2,2,0,0,2,0,1,0,0,0,1,0,0,12,281,0.1530249110320284,2,12,0,0,0,0,17,1.0,1
24,0,2,0,33,19,1,7,1,0,24,228,0,1,0,1,5,0,5,11,11,3,0,0,0,1,0,175,22,0,17,23,13,1119,0.3190348525469169,6,277,5,13,0,2,24,0.9230769230769232,1
0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,28,0.2142857142857142,0,1,2,0,0,3,0,0.0,1
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0.3076923076923077,0,0,1,0,0,1,0,0.0,1
22,0,9,0,9,2,0,0,0,0,8,177,0,0,1,3,0,0,0,1,1,0,0,2,0,0,0,0,9,0,1,8,26,771,0.1413748378728923,2,10,1,0,0,2,22,0.9166666666666666,0
55,0,30,0,33,2,3,17,0,1,30,112,0,0,1,6,0,0,0,36,36,2,0,7,0,1,0,26,0,0,10,2,17,932,0.2339055793991416,0,30,8,7,0,2,55,0.9649122807017544,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
1,0,1,0,0,0,2,3,1,0,1,2,0,0,1,1,0,0,0,6,6,2,0,1,0,0,0,0,0,0,5,0,12,42,0.2619047619047619,0,4,1,0,0,0,1,1.0,1
2,0,8,0,13,0,0,3,1,0,3,21,0,0,1,0,0,0,0,3,3,0,0,2,0,1,0,0,0,0,1,1,20,490,0.2204081632653061,1,38,45,0,0,6,2,0.25,0
1,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0.1578947368421052,0,1,1,0,0,0,1,1.0,1
159,0,18,0,82,27,1,2,3,0,66,300,0,0,1,8,7,0,7,6,5,4,0,2,0,0,0,60,1,0,5,1,18,2661,0.1999248402856069,27,274,41,113,27,0,159,1.0,0
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.25,0,1,0,1,0,0,0,0.0,1
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,7,20,0.35,1,0,1,0,0,1,0,0.0,1
2,0,2,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,35,0.7142857142857143,1,0,0,0,0,6,2,0.25,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0.5384615384615384,0,0,0,0,0,0,0,0.0,1
15,0,7,0,7,7,0,9,0,0,1,4,0,1,1,0,0,0,0,9,9,0,1,0,0,0,0,0,2,0,2,1,9,60,0.4333333333333333,5,4,1,1,0,0,15,1.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
1,0,3,1,5,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,77,0.3766233766233766,1,1,1,6,0,8,1,0.1111111111111111,1
41,0,18,0,14,21,0,3,2,0,15,123,0,0,1,6,0,0,0,13,10,1,0,4,0,1,0,0,0,1,0,1,17,602,0.1893687707641196,2,32,1,0,0,1,41,0.9761904761904762,0
35,0,16,1,9,13,0,0,2,0,17,663,0,0,0,1,0,0,0,2,2,0,0,1,0,1,0,0,0,1,0,1,20,1974,0.0623100303951367,2,730,0,0,0,2,35,0.945945945945946,0
