f1_url_length,f2_hostname_length,f3_has_ip,f4_dot,f5_hyphen,f6_at,f7_question,f8_ampersand,f9_pipe,f10_equal,f11_underscore,f12_tilde,f13_percent,f14_slash,f15_asterisk,f16_colon,f17_comma,f18_semicolon,f19_dollar,f20_space_or_%20,f21_www,f22_.com,f23_http,f24_//,f25_https,f26_ratio_digits_url,f27_ratio_digits_hostname,f28_punycode,f29_port,f30_tld_in_path,f31_tld_in_subdomain,f32_abnormal_subdomain,f33_num_subdomains,f34_prefix_suffix,f35_random_domain,f36_shortening_service,f37_path_extension,f38_num_redirections,f39_num_external_redirections,f40_num_words_url,f41_max_char_repeat_url,f42_shortest_word_url,f45_longest_word_url,f48_avg_word_length_url,f43_shortest_word_hostname,f46_longest_word_hostname,f49_avg_word_length_hostname,f44_shortest_word_path,f47_longest_word_path,f50_avg_word_length_path,f51_phish_hints,f52_brand_in_domain,f53_brand_in_subdomain,f54_brand_in_path,f55_suspicious_tld,is_phishing
51,15,0,2,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,11,4.444444444444445,3,11,7.0,2,5,3.5,0,0,0,1,0,1
20,12,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,9,5.0,2,9,5.5,0,0,0.0,0,0,0,0,0,0
143,11,0,1,19,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,1,1,1,0.11188811188811189,0.0,0,0,0,0,0,0,0,0,0,0,1,0,26,2,1,10,4.423076923076923,5,5,5.0,1,10,4.142857142857143,0,0,0,0,0,0
17,10,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0.35294117647058826,0.6,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,7,4.333333333333333,2,7,4.5,0,0,0.0,0,0,0,0,0,1
22,14,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,10,5.666666666666667,3,10,6.5,0,0,0.0,0,0,0,0,0,0
20,13,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,1,7,3.75,1,7,3.6666666666666665,0,0,0.0,0,1,0,0,0,1
16,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0.3125,0.5555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,5,4.0,3,5,4.0,0,0,0.0,0,0,0,0,0,1
52,16,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,1,1,0.34615384615384615,0.125,0,0,0,0,0,1,0,0,0,0,1,1,6,2,1,25,7.5,3,8,4.666666666666667,1,25,13.0,0,0,0,0,0,1
46,11,0,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,13,6.333333333333333,2,8,5.0,5,13,7.666666666666667,0,0,0,0,0,0
32,4,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,1,1,1,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,18,6.5,1,2,1.5,18,18,18.0,0,0,0,0,0,0
32,14,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,1,1,6,2,2,7,4.166666666666667,2,7,4.0,3,6,4.5,0,0,0,1,0,0
23,14,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,6,4.25,3,6,4.0,0,0,0.0,0,1,0,0,1,0
43,21,0,2,0,0,1,0,0,0,1,0,0,3,0,2,0,0,0,0,1,0,1,1,1,0.06976744186046512,0.14285714285714285,0,1,0,0,0,1,0,0,0,0,0,0,6,3,2,12,5.833333333333333,2,10,4.5,0,0,0.0,0,0,0,0,0,0
22,14,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,6,4.25,3,6,4.0,0,0,0.0,0,0,0,0,0,0
25,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,8,4.75,3,8,4.666666666666667,0,0,0.0,0,1,0,0,0,0
22,14,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,6,4.25,3,6,4.0,0,0,0.0,0,0,0,0,0,0
49,17,0,3,0,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,6,4,8,3,2,8,4.75,2,6,3.5,6,6,6.0,0,0,0,0,0,0
23,16,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0.30434782608695654,0.4375,0,0,0,0,0,1,0,0,0,0,1,1,4,2,2,7,4.5,2,7,4.666666666666667,0,0,0.0,0,0,0,0,0,1
