f1_url_length,f2_hostname_length,f3_has_ip,f4_dot,f5_hyphen,f6_at,f7_question,f8_ampersand,f9_pipe,f10_equal,f11_underscore,f12_tilde,f13_percent,f14_slash,f15_asterisk,f16_colon,f17_comma,f18_semicolon,f19_dollar,f20_space_or_%20,f21_www,f22_.com,f23_http,f24_//,f25_https,f26_ratio_digits_url,f27_ratio_digits_hostname,f28_punycode,f29_port,f30_tld_in_path,f31_tld_in_subdomain,f32_abnormal_subdomain,f33_num_subdomains,f34_prefix_suffix,f35_random_domain,f36_shortening_service,f37_path_extension,f38_num_redirections,f39_num_external_redirections,f40_num_words_url,f41_max_char_repeat_url,f42_shortest_word_url,f45_longest_word_url,f48_avg_word_length_url,f43_shortest_word_hostname,f46_longest_word_hostname,f49_avg_word_length_hostname,f44_shortest_word_path,f47_longest_word_path,f50_avg_word_length_path,f51_phish_hints,f52_brand_in_domain,f53_brand_in_subdomain,f54_brand_in_path,f55_suspicious_tld,f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
27,20,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0.037037037037037035,0.05,0,0,0,0,0,1,1,0,0,0,0,0,5,2,3,5,4.2,3,5,4.25,0,0,0,0,0,1,0,0,216,0,10,0,14,12,0,3,1,0,194,421,0,0,1,26,0,0,0,6,6,0,0,6,0,1,0,4,1,1,0,0,19,3700,0.19972972972972974,8,206,1,51,0,1,216,0.9953917050691244,1
51,8,0,1,0,0,0,0,0,0,0,0,9,4,0,1,0,0,0,0,0,0,1,1,1,0.17647058823529413,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,6,2.769230769230769,2,5,3.5,2,6,2.4,0,1,0,0,0,6,0,5,0,2,3,0,0,1,0,2,20,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,11,114,0.18421052631578946,1,0,0,0,0,7,6,0.46153846153846156,0
20,12,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,8,5.333333333333333,3,8,5.5,0,0,0,0,0,0,0,0,73,0,12,2,39,5,0,0,1,1,47,200,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,32,0,16,1089,0.1763085399449036,6,3,9,1,0,3,73,0.9605263157894737,0
30,16,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,1,1,1,0.03333333333333333,0.0,0,0,0,0,0,1,0,0,0,0,1,1,5,3,3,8,4.6,3,8,4.666666666666667,4,4,4.0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,28,0.5357142857142857,2,0,2,0,0,12,0,0.0,0
18,10,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0.3333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,7,4.333333333333333,2,7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,1
1014,29,0,13,22,0,1,12,0,13,15,0,6,6,0,1,0,0,0,2,0,2,2,1,1,0.16272189349112426,0.0,0,0,0,0,0,1,0,0,0,0,0,0,73,2,1,169,12.876712328767123,3,15,9.0,1,12,5.555555555555555,3,0,0,0,0,6,0,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,2,11,31,0.3870967741935484,1,1,0,0,0,2,6,0.75,1
26,17,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.15384615384615385,0.23529411764705882,0,0,0,0,0,1,0,0,0,0,0,0,4,2,3,6,5.0,3,6,5.0,0,0,0,0,1,0,0,1,4,0,17,66,31,10,0,0,0,0,58,146,0,1,0,8,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,12,683,0.2108345534407028,3,13,12,3,0,67,4,0.056338028169014086,1
57,24,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,1,1,1,0.03508771929824561,0.0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,1,17,7.0,3,13,7.333333333333333,1,17,7.333333333333333,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,0.625,2,0,1,0,0,3,2,0.4,1
47,17,0,2,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,1,1,1,1,1,0.0851063829787234,0.0,0,0,0,0,0,1,0,0,0,0,1,0,9,3,2,9,4.0,3,9,5.0,2,6,3.2,0,0,0,0,0,5,0,12,1,25,6,0,0,2,1,3,196,0,0,1,2,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,3,16,714,0.1092436974789916,0,4,1,0,0,7,5,0.4166666666666667,0
28,20,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,1,0.25,0.35,0,0,0,0,0,2,0,0,0,0,0,0,5,2,2,7,4.4,2,7,4.25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,1
