f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
11,0,10,0,12,16,0,2,1,1,13,91,0,0,3,1,0,0,0,4,4,0,0,2,0,1,0,0,0,1,0,0,13,507,0.17357001972386588,2,4,1,0,0,32,11,0.2558139534883721,False
151,0,6,0,11,50,0,0,0,0,79,174,0,0,1,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,2539,0.12642772745175265,0,1,3,0,0,0,151,1.0,False
128,0,5,0,1,2,0,0,1,0,126,246,0,0,1,1,0,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,7,580,0.2396551724137931,0,2,1,9,5,3,128,0.9770992366412213,False
121,0,5,0,1,2,0,0,1,0,119,239,0,0,1,1,0,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,7,570,0.24561403508771928,0,2,1,9,5,3,121,0.9758064516129032,False
128,0,5,0,1,2,0,0,1,0,126,244,0,0,1,1,0,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,7,578,0.24048442906574394,0,2,1,9,5,3,128,0.9770992366412213,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,False
76,0,13,0,5,7,0,0,0,1,63,58,0,0,1,12,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,23,583,0.1646655231560892,1,7,1,0,0,0,76,1.0,False
76,0,13,0,5,7,0,0,0,1,63,58,0,0,1,12,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,23,583,0.1646655231560892,1,7,1,0,0,0,76,1.0,False
64,0,13,0,5,7,0,0,1,1,53,80,0,0,1,7,0,0,0,2,2,0,0,2,0,1,0,0,0,0,0,0,23,684,0.12134502923976608,1,27,1,0,0,2,64,0.9696969696969697,False
73,0,12,2,39,5,0,0,1,1,47,200,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,32,0,16,1089,0.1763085399449036,6,3,9,1,0,3,73,0.9605263157894737,False
32,0,13,2,43,5,0,0,1,1,7,120,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,48,0,17,639,0.21283255086071987,6,3,9,1,0,4,32,0.8888888888888888,False
63,0,12,2,36,5,0,0,1,1,37,202,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,16,0,15,989,0.20930232558139536,6,5,9,1,0,4,63,0.9402985074626866,False
100,0,12,2,12,18,0,11,4,1,72,187,0,0,1,1,0,0,0,19,9,0,0,5,0,1,0,0,2,0,2,2,22,1143,0.2537182852143482,1,40,10,1,0,2,100,0.9803921568627451,False
100,0,12,2,12,18,0,11,4,1,72,187,0,0,1,1,0,0,0,19,9,0,0,5,0,1,0,0,2,0,2,2,22,1143,0.2537182852143482,1,40,10,1,0,2,100,0.9803921568627451,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,42,0.0,0,0,0,0,0,0,0,0.0,False
62,1,19,5,15,13,0,0,2,1,18,83,0,0,4,0,0,0,0,2,2,0,0,2,1,0,0,0,0,1,17,13,18,488,0.3155737704918033,16,18,11,0,0,8,63,0.8873239436619719,False
35,0,16,1,9,13,0,0,2,0,17,663,0,0,0,1,0,0,0,2,2,0,0,1,0,1,0,0,0,1,0,1,20,1974,0.06231003039513678,2,730,0,0,0,2,35,0.9459459459459459,False
